language,sec_government,sec_population,sec_languages_identity,sec_communities,sec_references,sec_external_links,sec_poverty,col_seat,col_type,col_name,col_party,val_member,val_alternate,val_pending,lbl_source,col_language,col_speakers_2024,col_pct_2024,col_speakers_2012,col_pct_2012,cap_languages,col_group,col_population,col_pct,cap_autoident,cap_censuspop,src_census2024,btn_lead,btn_government,btn_council,btn_population,btn_pyramid,btn_identity,btn_language,btn_communities,btn_poverty,col_people
en,Government,Population,Languages and Indigenous identification,Communities,References,External links,Poverty and Basic Services,Seat,Type,Name,Party / Political Organization,Member,Alternate,TBD,Source,Language,2024 speakers,2024 %,2012 speakers,2012 %,Languages spoken,Group,Population,%,Ethnic identification (2024),Population in Recent Censuses,2024 Bolivian Census,Copy lead Wikitext,Copy government Wikitext,Copy council table,Copy population table,Copy population pyramid,Copy identity table,Copy language table,Copy communities Wikitext,Copy poverty table,People
es,Gobierno,Demografía,Idiomas e identificación indígena,Comunidades,Referencias,Enlaces externos,Pobreza y servicios básicos,N.°,Tipo,Nombre,Partido / Organización Política,Titular,Suplente,Por definir,Fuente,Idioma,Hablantes 2024,% 2024,Hablantes 2012,% 2012,Idiomas hablados,Grupo,Población,%,Autoidentificación (2024),Población en censos recientes,Censo de Bolivia de 2024,Copiar wikitexto de introducción,Copiar wikitexto de gobierno,Copiar tabla del concejo,Copiar tabla de población,Copiar pirámide de población,Copiar tabla de identidad,Copiar tabla de idiomas,Copiar wikitexto de comunidades,Copiar tabla de pobreza,Personas
r_variable,sec_government,sec_population,sec_languages_identity,sec_communities,sec_references,sec_external_links,sec_poverty,col_seat,col_type,col_name,col_party,val_member,val_alternate,val_pending,lbl_source,col_language,col_speakers_2024,col_pct_2024,col_speakers_2012,col_pct_2012,cap_languages,col_group,col_population,col_pct,cap_autoident,cap_censuspop,src_census2024,btn_lead,btn_government,btn_council,btn_population,btn_pyramid,btn_identity,btn_language,btn_communities,btn_poverty,col_people
