raw,en,es
mojeno_trinitario,Mojeno Trinitario,Mojeño Trinitario
more,More,Moré
moseten,Moseten,Mosetén
movima,Movima,Movima
pacahuara,Pacahuara,Pacahuara
puquina,Puquina,Puquina
quechua,Quechua,Quechua
siriono,Siriono,Sirionó
tacana,Tacana,Tacana
tapiete,Tapiete,Tapiete
tsimane,Tsimane,Tsimane'
uru_chipaya,Uru Chipaya,Uru-Chipaya
weenhayek,Weenhayek,Weenhayek
yaminawa,Yaminawa,Yaminawa
yuqui,Yuqui,Yuqui
yurakare,Yurakare,Yurakaré
zamuco,Zamuco,Zamuco
otras_declaraciones,Other,Otras declaraciones
albanes_ext,Albanes Ext,Albanes Ext
aleman_ext,Aleman Ext,Aleman Ext
arabe_ext,Arabe Ext,Arabe Ext
bulgaro_ext,Bulgaro Ext,Bulgaro Ext
catalan_ext,Catalan Ext,Catalan Ext
checo_ext,Checo Ext,Checo Ext
chino_ext,Chino Ext,Chino Ext
coreano_ext,Coreano Ext,Coreano Ext
croata_ext,Croata Ext,Croata Ext
danes_ext,Danes Ext,Danes Ext
finlandes_ext,Finlandes Ext,Finlandes Ext
frances_ext,Frances Ext,Frances Ext
gallego_ext,Gallego Ext,Gallego Ext
griego_ext,Griego Ext,Griego Ext
hebreo_ext,Hebreo Ext,Hebreo Ext
holandes_ext,Holandes Ext,Holandes Ext
hungaro_ext,Hungaro Ext,Hungaro Ext
ingles_ext,Ingles Ext,Ingles Ext
italiano_ext,Italiano Ext,Italiano Ext
japones_ext,Japones Ext,Japones Ext
latin_ext,Latin Ext,Latin Ext
noruego_ext,Noruego Ext,Noruego Ext
persa_ext,Persa Ext,Persa Ext
polaco_ext,Polaco Ext,Polaco Ext
portugues_ext,Portugues Ext,Portugues Ext
rumano_ext,Rumano Ext,Rumano Ext
ruso_ext,Ruso Ext,Ruso Ext
serbio_ext,Serbio Ext,Serbio Ext
sueco_ext,Sueco Ext,Sueco Ext
suizo_ext,Suizo Ext,Suizo Ext
tailandes_ext,Tailandes Ext,Tailandes Ext
taiwanes_ext,Taiwanes Ext,Taiwanes Ext
turco_ext,Turco Ext,Turco Ext
ucraniano_ext,Ucraniano Ext,Ucraniano Ext
valenciano_ext,Valenciano Ext,Valenciano Ext
vasco_ext,Vasco Ext,Vasco Ext
vietnames_ext,Vietnames Ext,Vietnames Ext
otro_idioma_extranjero_ext,Otro Idioma Extranjero Ext,Otro Idioma Extranjero Ext
lenguaje_de_senas,Lenguaje De Senas,Lenguaje de señas
