NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORBONNY ALBERTO TITO CARI|ALCALDE (SA)|undefined|undefined|ELECTO
ELIZABETH MAMANI YUJRA|ALCALDE (SA)|undefined|undefined|ELECTO
ANDRES CANAZA MITA|ALCALDE (SA)|undefined|undefined|ELECTO
FIDEL HUANCA FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
WILSON MAMANI ALI|ALCALDE (SA)|undefined|undefined|ELECTO
TIMOTEO GUTIERREZ HUAÑAPACO|ALCALDE (SA)|undefined|undefined|ELECTO
ABRAHAM PATTY MALDONADO|ALCALDE (SA)|undefined|undefined|ELECTO
ROLANDO SIRPA FERNANDEZ|ALCALDE (SA)|undefined|undefined|ELECTO
RONALD HUANCA TITO|ALCALDE (SA)|undefined|undefined|ELECTO
DOMINGO GUZMAN BUITRE MUJICA|ALCALDE (SA)|undefined|undefined|ELECTO
FIDEL RAMOS CONDORI|ALCALDE (SA)|undefined|undefined|ELECTO
NESTOR JUSTINIANO ROJAS SALLUCO|ALCALDE (SA)|undefined|undefined|ELECTO
RAMIRO NAVIA AVENDAÑO|ALCALDE (SA)|undefined|undefined|ELECTO
BERNARDO MAMANI LEVA|ALCALDE (SA)|undefined|undefined|ELECTO
BENJAMIN CHUQUIMIA NINA|ALCALDE (SA)|undefined|undefined|ELECTO
BERMAN ARANCIBIA HUACANCHI|ALCALDE (SA)|undefined|undefined|ELECTO
VICTOR GUILLERMO FERNANDEZ SALINAS|ALCALDE (SA)|undefined|undefined|ELECTO
GABRIEL   RIVA   CARRILLO|ALCALDE (SA)|undefined|undefined|ELECTO
RENE  ORTUÑO  MAMANI |ALCALDE (SA)|undefined|undefined|ELECTO
SABINO RAMIREZ FERNANDEZ|ALCALDE (SA)|undefined|undefined|ELECTO
CARMEN ERIS LIMA LOBO DORADO|ALCALDE (SA)|undefined|undefined|ELECTO
SAUL   RODRIGUEZ CAMACHO  CAMACHO|ALCALDE (SA)|undefined|undefined|ELECTO
ARIEL   VARGAS   REVOLLO|ALCALDE (SA)|undefined|undefined|ELECTO
RICARDO   TORRICO  ZAMBRANA|ALCALDE (SA)|undefined|undefined|ELECTO
IVAN RODRIGUEZ MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
MARCOS LORENZO CANAVIRI QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
SANDRO VALENTIN FLORES ATORA|ALCALDE (SA)|undefined|undefined|ELECTO
GROVER MARIANO CHOQUE CALLE|ALCALDE (SA)|undefined|undefined|ELECTO
JONAS BENIGNO MOLLO VIZA|ALCALDE (SA)|undefined|undefined|ELECTO
MOISES  MACUAPA  RODRIGUEZ|ALCALDE (SA)|undefined|undefined|ELECTO
DANIEL  LLANOS|ALCALDE (SA)|undefined|undefined|ELECTO
MARTIN QUISPE MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
ERNESTO QUISPE MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
DAVID  CHURA GARCIA |ALCALDE (SA)|undefined|undefined|ELECTO
HEDIBERTO CUELLAR CUVA|ALCALDE (SA)|undefined|undefined|ELECTO
EFRAIN GARRADO LLENES|ALCALDE (SA)|undefined|undefined|ELECTO
HUGO GUTIERREZ VIQUE|ALCALDE (SA)|undefined|undefined|ELECTO
ISMAEL   RIOS  CASTRO |ALCALDE (SA)|undefined|undefined|ELECTO
PLACIDO CHOQUE MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
ROBERTO EDUARDO AYLLON CASTEDO|ALCALDE (SA)|undefined|undefined|ELECTO
YASCARA  MORENO FLORES|ALCALDE (SA)|undefined|undefined|ELECTO
EBER RUDY VASQUEZ MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
VLADIMIR HUALLPA URURI|ALCALDE (SA)|undefined|undefined|ELECTO
RENE MIXTO APAZA|ALCALDE (SA)|undefined|undefined|ELECTO
FRANZ EDUARDO VILLCA LOVERA|ALCALDE (SA)|undefined|undefined|ELECTO
ROBERTO ALELUYA ZAMBRANA|ALCALDE (SA)|undefined|undefined|ELECTO
RENE LUIS TICONA MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
ASUNCION  RAMOS|ALCALDE (SA)|undefined|undefined|ELECTO
ANGEL  CALDERON|ALCALDE (SA)|undefined|undefined|ELECTO
BLADIMIR TUMIRI COCHA|ALCALDE (SA)|undefined|undefined|ELECTO
MAURO ALFEO CONDORIQ JUCHASARA|ALCALDE (SA)|undefined|undefined|ELECTO
TITO MENDO MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
VALERIO CHOQUE MACHACA|ALCALDE (SA)|undefined|undefined|ELECTO
VICTOR MAMANI MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
FLAVIO EUDALDO MERLO MAYDANA|ALCALDE (SA)|undefined|undefined|ELECTO
EDWIN CALLIZAYA QUISPE|ALCALDE (SA)|undefined|undefined|ELECTO
EDWIN VALDA ABALO|ALCALDE (SA)|undefined|undefined|ELECTO
EDWIN HILARI CONDORI|ALCALDE (SA)|undefined|undefined|ELECTO
NAPOLEON FELIX YAHUASI MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
GRISELDO MARTINEZ CRUZ|ALCALDE (SA)|undefined|undefined|ELECTO
WALTER CERVANTES SANAMARE|ALCALDE (SA)|undefined|undefined|ELECTO
FLORENCIO ORTEGA DURAN|ALCALDE (SA)|undefined|undefined|ELECTO
ANDRES FLORES SERRUDO|ALCALDE (SA)|undefined|undefined|ELECTO
EFRAIN PUMA VILLCA|ALCALDE (SA)|undefined|undefined|ELECTO
JUAN MARTINEZ SORUCO|ALCALDE (SA)|undefined|undefined|ELECTO
FELIPE MAMANI VILLCA|ALCALDE (SA)|undefined|undefined|ELECTO
ENRIQUE LEAÑO PALENQUE|ALCALDE (SA)|undefined|undefined|ELECTO
SABINO ALBARRACIN ZARATE|ALCALDE (SA)|undefined|undefined|ELECTO
ARMANDO TITO CRUZ CHOQUE|ALCALDE (SA)|undefined|undefined|ELECTO
VICTOR GALLARDO RIVERA|ALCALDE (SA)|undefined|undefined|ELECTO
MARCIAL CRUZ LEON|ALCALDE (SA)|undefined|undefined|ELECTO
MARCOS TELLES TORRES|ALCALDE (SA)|undefined|undefined|ELECTO
JAIME ROQUE CASTRO|ALCALDE (SA)|undefined|undefined|ELECTO
ALEJANDRO CABEZAS YUCRA|ALCALDE (SA)|undefined|undefined|ELECTO
EDWIN  COCA   GUARACHI|ALCALDE (SA)|undefined|undefined|ELECTO
JOSE CARDOZO MAMANI|ALCALDE (SA)|undefined|undefined|ELECTO
EDWIN   ROJAS   RIOJA|ALCALDE (SA)|undefined|undefined|ELECTO
WILY   ORDOÑEZ CAICOVA  CAICOVA |ALCALDE (SA)|undefined|undefined|ELECTO
VICTOR  TOLA   RAMOS |ALCALDE (SA)|undefined|undefined|ELECTO
PEDRO   QUIROZ   CORIA|ALCALDE (SA)|undefined|undefined|ELECTO
RAMIRO  MAMANI  ESCALERA |ALCALDE (SA)|undefined|undefined|ELECTO
CRESENCIO BARRIGA SANTILLAN|ALCALDE (SA)|undefined|undefined|ELECTO
NANCY  COLQUE  MAMANI |ALCALDE (SA)|undefined|undefined|ELECTO
MARCIAL   ENCINAS   MEDRANO |ALCALDE (SA)|undefined|undefined|ELECTO
JUVENAL   COLQUE  VALENCIA |ALCALDE (SA)|undefined|undefined|ELECTO
MARIO   ROJAS   GONZALES |ALCALDE (SA)|undefined|undefined|ELECTO
CESAR  CORIA   CASTELLON |ALCALDE (SA)|undefined|undefined|ELECTO
LIMBER COSSIO ARNEZ LIMBER COSSIO ARNEZ LIMBER COSSIO ARNEZ|ALCALDE (SA)|undefined|undefined|ELECTO
JHONY  CUCHALLO  ORELLANA|ALCALDE (SA)|undefined|undefined|ELECTO
MELQUIADES   CLAURE   GONZALES|ALCALDE (SA)|undefined|undefined|ELECTO
ELMER   ROJAS   MERCADO |ALCALDE (SA)|undefined|undefined|ELECTO
