rank,English exonym,code,total pop.,endonym,language family (branch)
85,Kinyarwanda,kin,14.8M,Ikinyarwanda,Niger-Congo (Bantoid)
86,Bavarian,bar,14.7M,Boarisch,Indo-European (Germanic)
87,Chichewa,nya,14.4M,Chicheŵa,Niger-Congo (Bantoid)
88,Bamanankan,bam,14.2M,Bamanankan,Niger-Congo (Mande)
89,Setswana,tsn,13.7M,Setswana,Niger-Congo (Bantoid)
90,Northern Sotho,nso,13.7M,Sesotho sa Leboa,Niger-Congo (Bantoid)
91,Southern Sotho,sot,13.5M,Sesotho,Niger-Congo (Bantoid)
92,Swedish,swe,13.2M,Svenska,Indo-European (Germanic)
93,Haitian Creole,hat,13.2M,Kreyòl Ayisyen,French-Based Creole
94,Greek,ell,13.2M,Νέα Ελληνικά,Indo-European (Hellenic)
95,Rundi,run,13.2M,Ikirundi,Niger-Congo (Bantoid)
96,Chittagonian,ctg,13.0M,চাঁটগাঁইয়া বুলি,Indo-European (Indo-Aryan)
97,Jula,dyu,12.8M,Julakan,Niger-Congo (Mande)
98,Deccan,dcc,12.8M,دکھنی,Indo-European (Indo-Aryan)
99,Bajjika,vjk,12.7M,बज्जिका,Indo-European (Indo-Aryan)
100,Sanaani Arabic,ayn,12.6M,يمني,Afro-Asiatic (Semitic)
101,Hungarian,hun,12.4M,Magyar,Uralic
102,Kituba,ktu,12.4M,Kikongo ya Leta,Kongo-Based Creole
103,Czech,ces,12.3M,Čeština,Indo-European (Slavic)
104,Ta'izzi-Adeni Arabic,acq,12.2M,لهجة تعزية عدنية,Afro-Asiatic (Semitic)
105,Sadri,sck,12.1M,सादरी,Indo-European (Indo-Aryan)
106,Tunisian Arabic,aeb,12.0M,تونسي,Afro-Asiatic (Semitic)
107,Cameroon Pidgin,wes,12.0M,Pidgin,English-Based Creole
108,Moore,mos,11.9M,Moore,Niger-Congo (North Volta-Congo)
109,South Azerbaijani,azb,11.7M,آذربایجانجا,Turkic
110,Min Bei Chinese,mnp,11.7M,閩北語,Sino-Tibetan (Sinitic)
111,Sylheti,syl,11.5M,ꠍꠤꠟꠐꠤ,Indo-European (Indo-Aryan)
112,Ganda,lug,11.1M,Luganda,Niger-Congo (Bantoid)
113,Congo Swahili,swc,11.1M,Kiswahili,Niger-Congo (Bantoid)
114,Eastern Oromo,hae,11.1M,Afaan Oromoo,Afro-Asiatic (Cushitic)
115,Min Dong Chinese,cdo,10.9M,闽东话,Sino-Tibetan (Sinitic)
116,Gulf Arabic,afb,10.9M,خليجي,Afro-Asiatic (Semitic)
117,Shona,sna,10.9M,ChiShona,Niger-Congo (Bantoid)
118,Hijazi Arabic,acw,10.8M,حجازي,Afro-Asiatic (Semitic)
119,Ibibio,ibb,10.8M,Ibibio,Niger-Congo (Delta-Cross)
120,Rangpuri,rkt,10.8M,রংপুরী,Indo-European (Indo-Aryan)
121,Uyghur,uig,10.5M,ئۇيغۇر تىلى,Turkic
122,North Mesopotamian Arabic,ayp,10.5M,مصلاوي,Afro-Asiatic (Semitic)
123,North Azerbaijani,azj,10.3M,Azərbaycan dili,Turkic
124,Serbian,srp,10.1M,српски,Indo-European (Slavic)
125,Tsonga,tso,10.0M,Xitsonga,Niger-Congo (Bantoid)
126,Tajik,tgk,10.0M,тоҷикӣ,Indo-European (Iranic)
127,Akan,aka,9.9M,Akan,Niger-Congo (Kwa Volta-Congo)
128,Tigrigna,tir,9.9M,ትግርኛ,Afro-Asiatic (Semitic)
129,Haryanvi,bgc,9.8M,हरियाणवी,Indo-European (Indo-Aryan)
130,Borana-Arsi-Guji Oromo,gax,9.6M,Afaan Oromoo,Afro-Asiatic (Cushitic)
131,Hebrew,heb,9.4M,עברית,Afro-Asiatic (Semitic)
132,Catalan,cat,9.3M,Català,Indo-European (Romance)
133,Yerwa Kanuri,knc,9.1M,Yerwa Kanuri,Nilo-Saharan (Saharan)
134,Gikuyu,kik,8.2M,Gĩgĩkũyũ,Niger-Congo (Bantoid)
135,Sukuma,suk,8.1M,Kisukuma,Niger-Congo (Bantoid)
