idioma,c2012_total,c2012_hombres,c2012_mujeres,c2012_urbana,c2012_rural,c2024_total,c2024_hombres,c2024_mujeres,c2024_urbana,c2024_rural,qid,label_en,label_es,wikipedia_articles
Chácobo,806,429,377,41,765,1037,531,506,46,991,Q2591202,Chakobo,NA,ca: Chakobo (llengua); ckb: زمانی چاکۆبۆ; de: Chácobo; en: Chácobo language; et: Tšakobo keel; fr: Chácobo; hr: Čákobo jezik; pms: Lenga chácobo; ru: Чакобо (язык); tt: Чакобо теле
Ese ejja,676,336,340,18,658,1175,611,564,263,912,Q2980381,Ese Ejja,Idioma ese eja,ast: Idioma ese ejja; bn: এসে এহা ভাষা; ca: Ese ejja; ckb: زمانی ئێسێ ئێخا; de: Ese Eja (Sprache); en: Ese Ejja language; es: Idioma ese eja; fr: Ese 'ejja; ja: エセエハ語; oc: Ese ejja; pa: ਈਸੇ ਇੱਜਾ (ਭਾਸ਼ਾ); pms: Lenga ese ejja; pt: Língua ese ejja; qu: Ese'eqha simi; ru: Эсе-эхха (язык); tr: Ese Ejja dili; tt: Эсе Эхха теле; vi: Tiếng Ese Ejja
Guaraní,39307,19692,19615,10331,28976,36174,18086,18088,5246,30928,Q35876,Guarani,guaraní,"af: Guaraní; ang: Awaisc sprǣc; anp: गुआरानी भाषा; ar: اللغة الغوارانية; arz: جوارانى; ast: Idioma guaraní; ay: Waraniyi aru; azb: قوارانی دیلی; az: Quarani dili; bat_smg: Gvaraniu kalba; bcl: Tataramon na Guarani; be: Гуарані (мова); bg: Гуарански език; bn: গুয়ারানি ভাষা; bo: གུ་ཝ་ར་ནི་སྐད།; br: Gwaranieg; ca: Guaraní; ckb: زمانی گوارانی; cs: Guaranština; cy: Guaraní (iaith); da: Guaraní (sprog); de: Guaraní (Sprache); dsb: Guaranišćina; el: Γλώσσα Γκουαρανί; en: Guarani dialects; eo: Gvarania lingvo; es: Idioma guaraní; eu: Guaraniera; ext: Lengua guaranín; fa: گویش‌های گوارانی; fi: Guaranin kieli; frr: Guaraní (Spriak); fr: Guarani (langue); ga: An Ghuaráinis; gd: Guaranaidh; gl: Lingua guaraní; gn: Avañe'ẽ; he: גוארני; hif: Guarani bhasa; hi: गुआरानी भाषा; hr: Guarani (jezik); hsb: Guaranišćina; hu: Guarani nyelv; ia: Lingua guarani; id: Bahasa Guarani; ilo: Pagsasao a Guarani; io: Guarani-linguo; is: Gvaraní (tungumál); it: Lingua guaraní; ja: グアラニー語; kab: Tagwaranit; ka: გუარანის ენა; kge: Basa Guarani; kk: Гуарани тілі; ko: 과라니어; kv: Гуарани (кыв); la: Lingua Guaranica; lfn: Guarani (lingua); lij: Guaranì; lt: Gvaranių kalba; lv: Gvaranu valoda; mg: Fiteny goarany; mhr: Гуарани йылме; mk: Гварански јазик; ml: ഗ്വാരാനീ ഭാഷ; mr: ग्वारानी भाषा; ms: Bahasa Guaraní; mzn: گوارانی (زوون); new: गुआरानी भाषा; nl: Guaraní (taal); nn: Guaraní; no: Guaraní (språk); oc: Guaraní (lenga); os: Гуарани (æвзаг); pa: ਗੁਆਰਾਨੀ ਭਾਸ਼ਾ; pl: Język guarani; pms: Lenga guaraní, paraguajan; pnb: گورانی; pt: Língua guarani; qu: Chiriwanu simi; ro: Limba guarani; rue: Ґуараньскый язык; ru: Гуарани (язык); sat: ᱜᱩᱣᱟᱨᱟᱱᱤ ᱯᱟᱹᱨᱥᱤ; sco: Guaraní leid; sd: گواراني ٻولي; simple: Guaraní language; sk: Guaraníjčina; sl: Gvaranščina; sq: Gjuha guarani; sr: Гварани (језик); sv: Guaraní; ta: குவாரனி மொழி; th: ภาษากวารานี; tl: Wikang Guarani; tok: toki Awanjejen; tr: Guaranice; tt: Гуарани теле; ug: گۇئارانچە; uk: Гуарані (мова); ur: گوارانی زبان; uz: Guarani tili; vep: Guaranin kel'; vi: Tiếng Guaraní; wa: Gwarani; wikifunctions: Z1357; wuu: 瓜拉尼语; xmf: გუარანი (ნინა); zgh: ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⴳⵡⴰⵔⴰⵏⵉⵜ; zh_min_nan: Guarani-gí; zh_yue: 瓜拉尼文; zh: 瓜拉尼語"
Guarasu've,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,
Gwarayu,6980,3466,3514,5965,1015,6503,3272,3231,5589,914,Q3118779,Guarayu,Idioma guarayo,ckb: زمانی گوارایۆ; de: Guarayo (Sprache); en: Guarayu language; es: Idioma guarayo; fr: Guarayo; pms: Lenga guarayu; pt: Língua guaraio; ru: Гуараю; tt: Гуарайю теле
Itonama,29,17,12,26,3,34,19,15,32,2,Q950585,Itonama,Idioma itonama,ast: Idioma itonama; br: Itonameg; ca: Itonama; ckb: زمانی ئیتۆناما; cs: Itonama; de: Itonama; en: Itonama language; es: Idioma itonama; et: Itonama keel; fr: Itonama; hr: Itonama; mk: Итонамајски јазик; pms: Lenga itonama; pt: Língua itonama; ru: Итонама (язык); sh: Itonama; sq: Gjuha Itonama
Joaquiniano,NA,NA,NA,NA,NA,7,3,4,5,2,NA,NA,NA,
Kabineña,733,377,356,114,619,891,481,410,51,840,Q524102,Cavineña,Idioma cavineña,ast: Idioma cavineño; ca: Cavineño; ckb: زمانی کاڤینێنا; de: Cavineño; en: Cavineña language; es: Idioma cavineño; fr: Cavineña; hr: Cavineña jezik; pms: Lenga cavineña; pt: Língua cavineña; qu: Kawiña simi; ru: Кавиненья (язык); tt: Кавиненьо теле
Leco,53,33,20,17,36,76,49,27,25,51,Q2625398,Leco,Idioma leco,ast: Idioma leco; bn: লেকো ভাষা; br: Lekeg; ca: Leco; ckb: زمانی لێکۆ; de: Leko (Sprache); en: Leco language; es: Idioma leco; et: Leko keel; fr: Leko (langue); hr: Leco; id: Bahasa Leco; ko: 레코어; mk: Лекоански јазик; oc: Leco; pa: ਲੇਕੋ ਭਾਸ਼ਾ; pms: Lenga leco; pnb: لیکو بولی; pt: Língua leco; ru: Леко (язык); sh: Leco; sq: Gjuha leko; ta: லெகோ மொழி; tt: Леко теле; vi: Tiếng Leco; yi: לעקא
Macha'juyay kallawaya,1,0,1,1,0,9,8,1,0,9,Q266417,Kallawaya,Idioma kallawaya,ar: لغة كالاوايا; ast: Idioma kallawaya; bar: Callawalla; ca: Machajuyai-kallawaya; ckb: زمانی کاڵاوایا; cs: Kallawaya; en: Kallawaya language; es: Idioma kallawaya; fr: Kallawaya (langue); ha: Harshen Kallawaya; hr: Callawalla jezik; it: Lingua kallawaya; ja: カリャワヤ語; ko: 칼라와야어; lt: Kaljavajų kalba; pms: Lenga callawalla; ru: Кальяуайя (язык); tr: Kayavayaca; tt: Мачаһуяй-Каллавайя теле; uk: Кальявайя; zh: 卡拉瓦亞語
