ns,title,source_category,pageid,page_length,wikidata_qid,n_chars,n_citations,n_refs,census_years_str,infobox_fields,n_fields,infobox_values,official_name,native_name,native_name_lang,settlement_type,image_skyline,pushpin_map,pushpin_label_position,coordinates,subdivision_type,subdivision_name,subdivision_type1,subdivision_type2,subdivision_name1,subdivision_name2,subdivision_name3,subdivision_type3,leader_title,leader_name,pushpin_map_caption,pushpin_label,population_total,timezone1,utc_offset,population_as_of,population_blank1,population_blank1_title,population_blank2_title,population_blank2,image_caption,imagesize,nickname,image_flag,image_seal,image_map,map_caption,established_title,established_date,mapsize,area_magnitude,area_total_km2,area_land_km2,area_water_km2,area_note,population_urban,population_note,population_metro,area_metro_km2,population_density_km2,timezone,timezone_dst,utc_offset_dst,elevation_m,elevation_ft,latitude,longitude,area_code,website,footnotes,other_name_hadar,image_blank_emblem,blank_emblem_type,blank_emblem_size,motto,image_map1,mapsize1,map_caption1,mapframe,subdivision_type4,subdivision_name4,established_title2,established_date2,established_title3,established_date3,government_footnotes,government_type,leader_title1,leader_name1,unit_pref,area_footnotes,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_water_percent,area_urban_km2,area_urban_sq_mi,area_metro_sq_mi,area_blank1_title,area_blank1_km2,area_blank1_sq_mi,elevation_footnotes,population_footnotes,population_density_sq_mi,postal_code_type,image_dot_map,dot_mapsize,dot_map_caption,dot_x,dot_y,leader_title2,leader_name2,leader_title3,leader_name3,leader_title4,leader_name4,name,type,image_alt,seat,seat_type,pushpin_map_alt,pushpin_relief,other_name,image_shield,founder,postal_code,population_est,pop_est_as_of,pop_est_footnotes,tegefenta_other_name,pushpin_mapsize,photo,blank_name,blank_info,leader_party,population_rural,mapframe-zoom,mapframe-wikidata,mapframe-marker,demographics_type1,demographics1_title1,demographics1_info1,flag_alt,map_alt,native_name_ceel-ogaden,flag_size,seal_size,shield_size,city_logo,citylogo_size,population_density_metro_km2,population_density_metro_sq_mi,population_density_urban_km2,population_density_urban_sq_mi,population_density_blank1_km2,population_density_blank1_sq_mi,blank1_name,blank1_info,area_total_acre,caption,area_total_ha,elevation_min_m,elevation_max_m,geocode,utc_offset1
0,Gullele,Category:Districts of Addis Ababa,41666028,2488,Q16891952,2452,0,7,2011,,21,,Gullele,ጉለሌ ክፍለ ከተማ,am,Sub-city,NA,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"248,865",NA,+3,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gullele (Addis Ababa Map).png,Gullele (red) within Addis Ababa,NA,NA,NA,NA,30.18,NA,NA,NA,NA,NA,NA,NA,"9,438.9",East Africa Time,NA,NA,NA,NA,NA,NA,(+251) 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Kirkos,Category:Districts of Addis Ababa,41665802,3483,Q16893515,3443,1,9,2011,,22,,Kirkos,ቂርቆስ ክፍለ ከተማ,am,Sub-city,Addis Ababa City view.jpg,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"235,441",NA,+3,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kirkos (Addis Ababa Map).png,Kirkos (red) within Addis Ababa,NA,NA,NA,NA,14.62,NA,NA,NA,NA,NA,NA,NA,"16,104",East Africa Time,NA,NA,NA,NA,NA,NA,(+251) 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Kolfe Keranio,Category:Districts of Addis Ababa,41047721,2783,Q16893565,2731,0,7,2011,,21,,Kolfe Keranio,ኮልፌ ቀራኒዮ ክፍለ ከተማ,am,Sub-city,NA,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"546,219",NA,+3,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kolfe Keranio (Addis Ababa Map).png,Kolfe Keranio (red) within Addis Ababa,NA,NA,NA,NA,61.25,NA,NA,NA,NA,NA,NA,NA,"7,448.5",East Africa Time,NA,NA,NA,NA,NA,NA,(+251) 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Lideta,Category:Districts of Addis Ababa,41666082,2817,Q16894144,2781,0,7,2011,,21,,Lideta,ልደታ ክፍለ ከተማ,am,Sub-city,NA,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"214,769",NA,+3,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lideta (Addis Ababa Map).png,Lideta (red) within Addis Ababa,NA,NA,NA,NA,9.18,NA,NA,NA,NA,NA,NA,NA,"23,000",East Africa Time,NA,NA,NA,NA,NA,NA,(+251) 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Nifas Silk-Lafto,Category:Districts of Addis Ababa,41665687,2960,Q16895860,2900,0,8,2011,,21,,Nifas Silk-Lafto,ንፋስ ስልክ ላፍቶ ክፍለ ከተማ,am,Sub-city,NA,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"335,740",NA,+3,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nifas Silk-Lafto (Addis Ababa Map).png,Nifas Silk-Lafto (red) within Addis Ababa,NA,NA,NA,NA,68.30,NA,NA,NA,NA,NA,NA,NA,"4,915.7",East Africa Time,NA,NA,NA,NA,NA,NA,(+251911966374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Yeka,Category:Districts of Addis Ababa,41665964,4187,Q16904030,4151,3,8,2016,,21,,Yeka,የካ ክፍለ ከተማ,am,Sub-city,NA,Ethiopia,NA,NA,Country,NA,City,NA,Addis Ababa,NA,NA,NA,NA,NA,Location in Ethiopia,NA,"424,217",NA,+3,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yeka (Addis Ababa Map).png,Yeka (red) within Addis Ababa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,East Africa Time,NA,NA,NA,NA,NA,NA,(+251) 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,List of districts in the Afar region,Category:Districts of Afar Region,5765457,3023,Q3109998,3021,1,0,,,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Abala (woreda),Category:Districts of Afar Region,34639957,1792,Q1387874,1792,0,1,2007,,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Ada'ar (woreda),Category:Districts of Afar Region,57622544,4215,Q55603180,4209,1,2,,,28,,Ada'ar Woreda,NA,NA,District,NA,Central African Republic,bottom,NA,Country,Ethiopia,Region,Zone,Afar,One (Awsi Rasu),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Imperial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Afambo (woreda),Category:Districts of Afar Region,7354057,3868,Q2825704,3868,0,4,2007,,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
