Q1108171 | P1082 | 49652 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108171 | P1082 | 55697 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108177 | P1082 | 16599 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108177 | P1082 | 28922 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108177 | P1082 | 40974 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108183 | P1082 | 5660 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108183 | P1082 | 7490 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108183 | P1082 | 8541 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108189 | P1082 | 31538 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108189 | P1082 | 50558 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108189 | P1082 | 57794 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108192 | P1082 | 5960 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108192 | P1082 | 7026 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108192 | P1082 | 6555 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108206 | P1082 | 6273 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108206 | P1082 | 6069 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108206 | P1082 | 6007 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108209 | P1082 | 7747 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108209 | P1082 | 10177 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108209 | P1082 | 12735 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108226 | P1082 | 9131 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108226 | P1082 | 9191 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108226 | P1082 | 10200 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108235 | P1082 | 5283 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108235 | P1082 | 5366 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108235 | P1082 | 5946 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108240 | P1082 | 7933 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108240 | P1082 | 9198 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108240 | P1082 | 9692 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108247 | P1082 | 11393 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108247 | P1082 | 12273 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108247 | P1082 | 14389 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108252 | P1082 | 17574 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108252 | P1082 | 22845 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108252 | P1082 | 25258 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108256 | P1082 | 12903 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108256 | P1082 | 16659 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108256 | P1082 | 17974 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108258 | P1082 | 15052 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108258 | P1082 | 19217 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108258 | P1082 | 17999 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108266 | P1082 | 11661 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108266 | P1082 | 12482 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108266 | P1082 | 10665 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108271 | P1082 | 4894 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108271 | P1082 | 6342 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108271 | P1082 | 8816 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108279 | P1082 | 28520 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108279 | P1082 | 37866 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108279 | P1082 | 54495 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108286 | P1082 | 5017 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108286 | P1082 | 6139 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108286 | P1082 | 8842 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108292 | P1082 | 15240 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108292 | P1082 | 15641 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108292 | P1082 | 18763 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108295 | P1082 | 15209 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108295 | P1082 | 19829 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108295 | P1082 | 17417 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108298 | P1082 | 6293 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108298 | P1082 | 6481 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108298 | P1082 | 6364 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108303 | P1082 | 2028 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108303 | P1082 | 2995 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108303 | P1082 | 3086 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108311 | P1082 | 8633 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108311 | P1082 | 14205 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1108311 | P1082 | 17290 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1118260 | P1082 | 7552 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1118260 | P1082 | 7278 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1118260 | P1082 | 8592 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1141966 | P1082 | 14392 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1141966 | P1082 | 15644 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1141966 | P1082 | 14713 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1141996 | P1082 | 2345 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
