mesa_code,mesa_number,registered,country_code,country_name,dept_code,dept_name,prov_code,prov_name,mun_code,mun_name,localidad_code,localidad_name,recinto_code,recinto_name,AP,LyP_ADN,APB_SUMATE,LIBRE,FP,MAS_IPSP,UNIDAD,PDC,valid_votes,blank_votes,null_votes,votes_cast
100274,9,278,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,18,1,8,5,6,4,3,24,69,2,36,107
100284,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,31,0,6,10,2,11,6,23,89,8,52,149
100294,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,23,2,8,8,6,8,7,24,86,9,57,152
100304,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,21,4,5,8,7,2,7,26,80,7,60,147
100314,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,25,1,10,9,4,6,3,19,77,1,65,143
100324,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,20,3,10,12,6,3,7,26,87,2,49,138
100334,6,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,25,1,11,8,7,1,8,26,87,1,57,145
100344,7,325,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,16,2,12,9,4,2,6,30,81,6,41,128
100354,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,21,0,9,5,4,4,6,28,77,4,44,125
100364,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,26,2,5,11,6,2,6,36,94,2,44,140
100374,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,19,1,4,13,1,1,9,31,79,2,37,118
100384,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,25,1,4,5,1,1,4,30,71,0,60,131
100394,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,24,0,9,9,5,2,3,30,82,3,40,125
100404,6,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,26,0,9,4,4,1,11,20,75,3,60,138
100414,7,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,24,2,4,5,6,1,10,31,83,2,30,115
100424,8,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,19,2,1,6,2,1,10,28,69,2,38,109
100434,9,283,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25059,Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia,17,1,9,6,4,2,8,20,67,6,41,114
100444,1,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,12,2,9,49,6,5,15,12,110,3,20,133
100454,2,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,9,0,12,39,6,1,13,13,93,1,22,116
100464,3,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,14,0,7,52,2,2,19,11,107,3,22,132
100474,4,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,12,1,9,34,3,2,25,15,101,2,18,121
100484,5,320,11,Argentina,10,Buenos Aires,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25157,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,12,0,7,55,2,2,30,12,120,1,20,141
