Santa Cruz,Ichilo,Buena Vista,Buena Vista,"Buena Vista, Sanisidro, San Javier, San Miguel"
Santa Cruz,Ignacio Warnes,Warnes,Warnes,
Santa Cruz,Ignacio Warnes,Warnes,Okinawa,
Santa Cruz,José Miguel de Velasco,San Ignacio de Velasco,San Ignacio,
Santa Cruz,José Miguel de Velasco,San Ignacio de Velasco,San Miguel,
Santa Cruz,José Miguel de Velasco,San Ignacio de Velasco,San Rafael,
Santa Cruz,Manuel María Caballero,Comarapa,Comarapa,
Santa Cruz,Manuel María Caballero,Comarapa,Saipina,
Santa Cruz,Ñuflo de Chávez,Concepción,Concepcion,
Santa Cruz,Ñuflo de Chávez,Concepción,San Ramon,
Santa Cruz,Ñuflo de Chávez,Concepción,San Javier,
Santa Cruz,Ñuflo de Chávez,Concepción,San Antonio de Lomerio,
Santa Cruz,Ñuflo de Chávez,Concepción,San Juliÿn,
Santa Cruz,Obispo Santistevan,Montero,Montero,Montero
Santa Cruz,Obispo Santistevan,Montero,Mineros,Mineros
Santa Cruz,Obispo Santistevan,Montero,General Saavedra,General Saavedra
Santa Cruz,Obispo Santistevan,Montero,Puerto Fernández Alonso,"Puerto Fernández Alonso, Chané Independencia"
Santa Cruz,Obispo Santistevan,Montero,San Pedro,
Santa Cruz,Sara,Portachuelo,Portachuelo,"La Estrella, Portachuelo"
Santa Cruz,Sara,Portachuelo,Santa Rosa,"Palometas, Santa Rosa"
Santa Cruz,Vallegrande,Vallegrande,Vallegrande,"Alto Seco, Chaco, El Bello, Guadalupe, Khasa Monte, Loma Larga, Mankaillpa, Masicuri, Naranjos, Piraymiri, San Juan del Tucumancillo, Santa Ana, Santa Rosita, Sitanos, Temporal, Vallegrande"
Santa Cruz,Vallegrande,Vallegrande,Moro Moro,"Abra el Astillero, Añapancu, Ariruma, La Laja, Moro Moro"
Santa Cruz,Vallegrande,Vallegrande,Pucará,"Pucará, La Higuera"
Santa Cruz,Vallegrande,Vallegrande,Postrer Valle,"Postrer Valle, San Juan de la Ladera, Tierras Nuevas"
Santa Cruz,Vallegrande,Vallegrande,Trigal,"Aguada, Lagunillas, Muyurina, Trigal"
Tarija,Aniceto Arce,Padcaya,Padcaya,"Camacho, Cañas, Chaguaya, La Merced, Mecoya,     Orozas, Padcaya, Rejara, Rosillas, San Francisco, Tacuara, Tariquia"
Tarija,Aniceto Arce,Padcaya,Bermejo,"Arrozales, Bermejo, Candaditos, Porcelana"
Tarija,Burnet O'Connor,Entre Ríos,Entre Ríos,"Chimeo, Chiquiaca, Entre Ríos, Huayco, Ipaguazu, La Cueva, Narvaez, Salinas, San Diego, Suaruro, Tapurayo"
Tarija,Cercado,Tarija,Tarija,"Alto España, Junacas, Lazareto, San Agustín,      San Mateo, Santa Ana, Tarija, Tolomosa, Yesera"
Tarija,Eustaquio Méndez,San Lorenzo,San Lorenzo,"Cajas, Calama, El Rancho, Erquis, La Victoria, Leon Cancha, San Lorencito, San Lorenzo, San Pedro de las Peñas, Sella Mendez, Tomatas, Tomatas Grande"
Tarija,Eustaquio Méndez,San Lorenzo,El Puente,"Carrizal, Chayaza, Curqui, El Puente, Huarmachi, Ircalaya, Iscayachi, Paicho, Tomayapo"
Tarija,Gran Chaco,Yacuíba,Yacuíba,"Aguayrenda, Caiza, Yacuíba"
Tarija,Gran Chaco,Yacuíba,Villamontes,Villamontes
Tarija,Gran Chaco,Yacuíba,Caraparí,"Caraparí, Itau, Saladillo, Zapatero"
Tarija,José María Avilés,Uriondo,Uriondo,"Chocloca, Juntas, Uriondo"
Tarija,José María Avilés,Uriondo,Yunchará,"Arteza, Belen, Buena Vista, Churquis, Copacabana, Palqui, Noquera, San Pedro, Santa Cruz de Azloca, Tojo, Yunchará"
