Q1244642 | P1082 | 32652 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1244642 | P1082 | 31746 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1319477 | P1082 | 10460 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1319477 | P1082 | 14057 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1319477 | P1082 | 14361 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325710 | P1082 | 19250 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325710 | P1082 | 19252 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325710 | P1082 | 21584 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325725 | P1082 | 59167 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325725 | P1082 | 66462 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325725 | P1082 | 86065 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325738 | P1082 | 22892 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325738 | P1082 | 27244 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325738 | P1082 | 34152 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325748 | P1082 | 24053 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325748 | P1082 | 18444 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325748 | P1082 | 19592 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325760 | P1082 | 68063 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325760 | P1082 | 86122 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325760 | P1082 | 106921 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325798 | P1082 | 116421 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325798 | P1082 | 130836 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1325798 | P1082 | 152333 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1339683 | P1082 | 176922 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1339683 | P1082 | 230240 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1339683 | P1082 | 263018 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355881 | P1082 | 25132 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355881 | P1082 | 25378 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355881 | P1082 | 33580 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355903 | P1082 | 18386 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355903 | P1082 | 27088 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355903 | P1082 | 28216 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355914 | P1082 | 11828 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355914 | P1082 | 18073 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355914 | P1082 | 22700 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355935 | P1082 | 51153 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355935 | P1082 | 61524 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355935 | P1082 | 70261 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355941 | P1082 | 49183 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355941 | P1082 | 55316 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355941 | P1082 | 69300 | P585 | +2024-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355950 | P1082 | 69636 | P585 | +2001-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
Q1355950 | P1082 | 78579 | P585 | +2012-01-01T00:00:00Z/9 | S248 | Q139668018 | S813 | +2026-05-10T00:00:00Z/11
