"municipality","department","muni_anexo","file","size_kb"
"Porvenir","Pando","Porvenir","output/locator_maps/workbench_hd_3/Porvenir_muni_locator_map.svg",7515
"Puerto Gonzalo Moreno","Pando","Puerto Gonzalo Moreno","output/locator_maps/workbench_hd_3/Puerto_Gonzalo_Moreno_muni_locator_map.svg",7515.8
"Puerto Rico","Pando","Puerto Rico","output/locator_maps/workbench_hd_3/Puerto_Rico_muni_locator_map.svg",7516.6
"San Lorenzo","Pando","San Lorenzo","output/locator_maps/workbench_hd_3/San_Lorenzo_(Pando)_muni_locator_map.svg",7517
"San Pedro","Pando","San Pedro","output/locator_maps/workbench_hd_3/San_Pedro_(Pando)_muni_locator_map.svg",7517.2
"Santa Rosa","Pando","Santa Rosa del Abuná","output/locator_maps/workbench_hd_3/Santa_Rosa_del_Abuna_muni_locator_map.svg",7516.1
"Santos Mercado","Pando","Santos Mercado","output/locator_maps/workbench_hd_3/Santos_Mercado_muni_locator_map.svg",7515.5
"Sena","Pando","Sena","output/locator_maps/workbench_hd_3/Sena_muni_locator_map.svg",7515.1
"Villa Nueva","Pando","Villa Nueva","output/locator_maps/workbench_hd_3/Villa_Nueva_muni_locator_map.svg",7515.3
"Acasio","Potosí","Acasio","output/locator_maps/workbench_hd_3/Acasio_muni_locator_map.svg",7515
"Arampampa","Potosí","Arampampa","output/locator_maps/workbench_hd_3/Arampampa_muni_locator_map.svg",7514.9
"Atocha","Potosí","Atocha","output/locator_maps/workbench_hd_3/Atocha_muni_locator_map.svg",7515.4
"Betanzos","Potosí","Betanzos","output/locator_maps/workbench_hd_3/Betanzos_muni_locator_map.svg",7516.3
"Caiza ""D""","Potosí","Caiza D","output/locator_maps/workbench_hd_3/Caiza_D_muni_locator_map.svg",7515.6
"Caripuyo","Potosí","Caripuyo","output/locator_maps/workbench_hd_3/Caripuyo_muni_locator_map.svg",7515.1
"Chaquí","Potosí","Chaquí","output/locator_maps/workbench_hd_3/Chaqui_muni_locator_map.svg",7515
"Chayanta","Potosí","Chayanta","output/locator_maps/workbench_hd_3/Chayanta_muni_locator_map.svg",7515.2
"Chuquihuta Ayllu Jucumani","Potosí","Chuquihuta","output/locator_maps/workbench_hd_3/Chuquihuta_muni_locator_map.svg",7514.6
"Ckochas","Potosí","Ckochas","output/locator_maps/workbench_hd_3/Ckochas_muni_locator_map.svg",7516.5
"Colcha ""K""","Potosí","Colcha K","output/locator_maps/workbench_hd_3/Colcha_K_muni_locator_map.svg",7517.9
"Colquechaca","Potosí","Colquechaca","output/locator_maps/workbench_hd_3/Colquechaca_muni_locator_map.svg",7516.2
"Cotagaita","Potosí","Cotagaita","output/locator_maps/workbench_hd_3/Cotagaita_muni_locator_map.svg",7517.6
"Llallagua","Potosí","Llallagua","output/locator_maps/workbench_hd_3/Llallagua_muni_locator_map.svg",7514.8
"Llica","Potosí","Llica","output/locator_maps/workbench_hd_3/Llica_muni_locator_map.svg",7515.7
"Mojinete","Potosí","Mojinete","output/locator_maps/workbench_hd_3/Mojinete_muni_locator_map.svg",7514.9
"Ocurí","Potosí","Ocurí","output/locator_maps/workbench_hd_3/Ocuri_muni_locator_map.svg",7515.4
"Pocoata","Potosí","Pocoata","output/locator_maps/workbench_hd_3/Pocoata_muni_locator_map.svg",7515.5
"Porco","Potosí","Porco","output/locator_maps/workbench_hd_3/Porco_muni_locator_map.svg",7515.2
"Potosí","Potosí","Potosí","output/locator_maps/workbench_hd_3/Potosi_muni_locator_map.svg",7515.9
"Puna","Potosí","Puna","output/locator_maps/workbench_hd_3/Puna_muni_locator_map.svg",7516.3
"Ravelo","Potosí","Ravelo","output/locator_maps/workbench_hd_3/Ravelo_muni_locator_map.svg",7515.7
"Sacaca","Potosí","Sacaca","output/locator_maps/workbench_hd_3/Sacaca_muni_locator_map.svg",7515.3
"San Agustín","Potosí","San Agustín","output/locator_maps/workbench_hd_3/San_Agustin_muni_locator_map.svg",7514.5
"San Antonio de Esmoruco","Potosí","San Antonio de Esmoruco","output/locator_maps/workbench_hd_3/San_Antonio_de_Esmoruco_muni_locator_map.svg",7515.4
"San Pablo","Potosí","San Pablo de Lípez","output/locator_maps/workbench_hd_3/San_Pablo_de_Lipez_muni_locator_map.svg",7517.1
"San Pedro","Potosí","San Pedro de Buena Vista","output/locator_maps/workbench_hd_3/San_Pedro_de_Buena_Vista_muni_locator_map.svg",7516
"San Pedro de Quemes","Potosí","San Pedro de Quemes","output/locator_maps/workbench_hd_3/San_Pedro_de_Quemes_muni_locator_map.svg",7515.4
"Tacobamba","Potosí","Tacobamba","output/locator_maps/workbench_hd_3/Tacobamba_muni_locator_map.svg",7515.3
"Tahua","Potosí","Tahua","output/locator_maps/workbench_hd_3/Tahua_muni_locator_map.svg",7514.7
"Tinguipaya","Potosí","Tinguipaya","output/locator_maps/workbench_hd_3/Tinguipaya_muni_locator_map.svg",7515.6
"Tomave","Potosí","Tomave","output/locator_maps/workbench_hd_3/Tomave_muni_locator_map.svg",7517.3
"Toro Toro","Potosí","Toro Toro","output/locator_maps/workbench_hd_3/Toro_Toro_muni_locator_map.svg",7515.7
"Tupiza","Potosí","Tupiza","output/locator_maps/workbench_hd_3/Tupiza_muni_locator_map.svg",7517.9
"Uncía","Potosí","Uncía","output/locator_maps/workbench_hd_3/Uncia_muni_locator_map.svg",7515
"Urmiri","Potosí","Urmiri","output/locator_maps/workbench_hd_3/Urmiri_muni_locator_map.svg",7514.8
"Uyuni","Potosí","Uyuni","output/locator_maps/workbench_hd_3/Uyuni_muni_locator_map.svg",7518.4
"Villazón","Potosí","Villazón","output/locator_maps/workbench_hd_3/Villazon_muni_locator_map.svg",7515.8
"Vitiche","Potosí","Vitichi","output/locator_maps/workbench_hd_3/Vitichi_muni_locator_map.svg",7515.7
"Yocalla","Potosí","Yocalla","output/locator_maps/workbench_hd_3/Yocalla_muni_locator_map.svg",7515.1
"Ascención de Guarayos","Santa Cruz","Ascensión de Guarayos","output/locator_maps/workbench_hd_3/Ascension_de_Guarayos_muni_locator_map.svg",7520.2
"Boyuibe","Santa Cruz","Boyuibe","output/locator_maps/workbench_hd_3/Boyuibe_muni_locator_map.svg",7514.7
"Buena Vista","Santa Cruz","Buena Vista","output/locator_maps/workbench_hd_3/Buena_Vista_muni_locator_map.svg",7516.7
"Cabezas","Santa Cruz","Cabezas","output/locator_maps/workbench_hd_3/Cabezas_muni_locator_map.svg",7516.9
"Camiri","Santa Cruz","Camiri","output/locator_maps/workbench_hd_3/Camiri_muni_locator_map.svg",7515.2
"Charagua","Santa Cruz","Charagua","output/locator_maps/workbench_hd_3/Charagua_muni_locator_map.svg",7518.4
"Colpa Bélgica","Santa Cruz","Colpa Bélgica","output/locator_maps/workbench_hd_3/Colpa_Belgica_muni_locator_map.svg",7514.5
"Comarapa","Santa Cruz","Comarapa","output/locator_maps/workbench_hd_3/Comarapa_muni_locator_map.svg",7516.7
"Concepción","Santa Cruz","Concepción","output/locator_maps/workbench_hd_3/Concepcion_muni_locator_map.svg",7521.1
"Cotoca","Santa Cruz","Cotoca","output/locator_maps/workbench_hd_3/Cotoca_muni_locator_map.svg",7514.6
"Cuatro Cañadas","Santa Cruz","Cuatro Cañadas","output/locator_maps/workbench_hd_3/Cuatro_Canadas_muni_locator_map.svg",7515.4
"Cuevo","Santa Cruz","Cuevo","output/locator_maps/workbench_hd_3/Cuevo_muni_locator_map.svg",7514.9
"El Carmen Rivero Tórrez","Santa Cruz","El Carmen Rivero Tórrez","output/locator_maps/workbench_hd_3/El_Carmen_Rivero_Torrez_muni_locator_map.svg",7514.2
"El Puente","Santa Cruz","El Puente","output/locator_maps/workbench_hd_3/El_Puente_(Santa_Cruz)_muni_locator_map.svg",7517.5
"El Torno","Santa Cruz","El Torno","output/locator_maps/workbench_hd_3/El_Torno_muni_locator_map.svg",7515.4
"Fernández Alonso","Santa Cruz","Fernández Alonso","output/locator_maps/workbench_hd_3/Fernandez_Alonso_muni_locator_map.svg",7515
"General Saavedra","Santa Cruz","General Saavedra","output/locator_maps/workbench_hd_3/General_Saavedra_muni_locator_map.svg",7514.9
"Gutiérrez","Santa Cruz","Gutiérrez","output/locator_maps/workbench_hd_3/Gutierrez_muni_locator_map.svg",7516.5
"La Guardia","Santa Cruz","La Guardia","output/locator_maps/workbench_hd_3/La_Guardia_muni_locator_map.svg",7515.7
"Lagunillas","Santa Cruz","Lagunillas","output/locator_maps/workbench_hd_3/Lagunillas_muni_locator_map.svg",7515.5
"Mairana","Santa Cruz","Mairana","output/locator_maps/workbench_hd_3/Mairana_muni_locator_map.svg",7515.4
"Mineros","Santa Cruz","Mineros","output/locator_maps/workbench_hd_3/Mineros_muni_locator_map.svg",7514.8
"Montero","Santa Cruz","Montero","output/locator_maps/workbench_hd_3/Montero_muni_locator_map.svg",7514.7
"Moromoro","Santa Cruz","Moro Moro","output/locator_maps/workbench_hd_3/Moro_Moro_muni_locator_map.svg",7515.1
"Okinawa Uno","Santa Cruz","Okinawa Uno","output/locator_maps/workbench_hd_3/Okinawa_Uno_muni_locator_map.svg",7515.3
"Pailón","Santa Cruz","Pailón","output/locator_maps/workbench_hd_3/Pailon_muni_locator_map.svg",7516.3
"Pampa Grande","Santa Cruz","Pampagrande","output/locator_maps/workbench_hd_3/Pampagrande_muni_locator_map.svg",7515.6
"Porongo","Santa Cruz","Porongo","output/locator_maps/workbench_hd_3/Porongo_muni_locator_map.svg",7515.2
"Portachuelo","Santa Cruz","Portachuelo","output/locator_maps/workbench_hd_3/Portachuelo_muni_locator_map.svg",7515.2
"Postrervalle","Santa Cruz","Postrervalle","output/locator_maps/workbench_hd_3/Postrervalle_muni_locator_map.svg",7515.7
"Pucará","Santa Cruz","Pucará","output/locator_maps/workbench_hd_3/Pucara_muni_locator_map.svg",7515.2
"Puerto Quijarro","Santa Cruz","Puerto Quijarro","output/locator_maps/workbench_hd_3/Puerto_Quijarro_muni_locator_map.svg",7514.6
"Puerto Suarez","Santa Cruz","Puerto Suárez","output/locator_maps/workbench_hd_3/Puerto_Suarez_muni_locator_map.svg",7515.4
"Quirusillas","Santa Cruz","Quirusillas","output/locator_maps/workbench_hd_3/Quirusillas_muni_locator_map.svg",7514.8
"Roboré","Santa Cruz","Roboré","output/locator_maps/workbench_hd_3/Robore_muni_locator_map.svg",7516
"Saipina","Santa Cruz","Saipina","output/locator_maps/workbench_hd_3/Saipina_muni_locator_map.svg",7514.9
"Samaipata","Santa Cruz","Samaipata","output/locator_maps/workbench_hd_3/Samaipata_muni_locator_map.svg",7516.3
"San Antonio de Lomerio","Santa Cruz","San Antonio de Lomerío","output/locator_maps/workbench_hd_3/San_Antonio_de_Lomerio_muni_locator_map.svg",7515.1
"San Carlos","Santa Cruz","San Carlos","output/locator_maps/workbench_hd_3/San_Carlos_muni_locator_map.svg",7515.6
"San Ignacio","Santa Cruz","San Ignacio de Velasco","output/locator_maps/workbench_hd_3/San_Ignacio_de_Velasco_muni_locator_map.svg",7519.5
"San Javier","Santa Cruz","San Javier","output/locator_maps/workbench_hd_3/San_Javier_(Santa_Cruz)_muni_locator_map.svg",7515.8
"San José","Santa Cruz","San José de Chiquitos","output/locator_maps/workbench_hd_3/San_Jose_de_Chiquitos_muni_locator_map.svg",7516.9
"San Juan","Santa Cruz","San Juan de Yapacaní","output/locator_maps/workbench_hd_3/San_Juan_de_Yapacani_muni_locator_map.svg",7517.5
"San Julián","Santa Cruz","San Julián","output/locator_maps/workbench_hd_3/San_Julian_muni_locator_map.svg",7515.3
"San Matías","Santa Cruz","San Matías","output/locator_maps/workbench_hd_3/San_Matias_muni_locator_map.svg",7516.7
"San Miguel","Santa Cruz","San Miguel de Velasco","output/locator_maps/workbench_hd_3/San_Miguel_de_Velasco_muni_locator_map.svg",7517.2
"San Pedro","Santa Cruz","San Pedro","output/locator_maps/workbench_hd_3/San_Pedro_(Santa_Cruz)_muni_locator_map.svg",7517.6
"San Rafael","Santa Cruz","San Rafael de Velasco","output/locator_maps/workbench_hd_3/San_Rafael_de_Velasco_muni_locator_map.svg",7515.5
"San Ramón","Santa Cruz","San Ramón","output/locator_maps/workbench_hd_3/San_Ramon_(Santa_Cruz)_muni_locator_map.svg",7516.8
"Santa Cruz de la Sierra","Santa Cruz","Santa Cruz de la Sierra","output/locator_maps/workbench_hd_3/Santa_Cruz_de_la_Sierra_muni_locator_map.svg",7515.7
"Santa Rosa","Santa Cruz","Santa Rosa del Sara","output/locator_maps/workbench_hd_3/Santa_Rosa_del_Sara_muni_locator_map.svg",7519
"Trigal","Santa Cruz","El Trigal","output/locator_maps/workbench_hd_3/El_Trigal_muni_locator_map.svg",7514.8
"Urubicha","Santa Cruz","Urubichá","output/locator_maps/workbench_hd_3/Urubicha_muni_locator_map.svg",7519.6
"Vallegrande","Santa Cruz","Vallegrande","output/locator_maps/workbench_hd_3/Vallegrande_muni_locator_map.svg",7517.6
"Warnes","Santa Cruz","Warnes","output/locator_maps/workbench_hd_3/Warnes_muni_locator_map.svg",7515.7
"Yapacaní","Santa Cruz","Villa Yapacaní","output/locator_maps/workbench_hd_3/Villa_Yapacani_muni_locator_map.svg",7522.8
"Bermejo","Tarija","Bermejo","output/locator_maps/workbench_hd_3/Bermejo_muni_locator_map.svg",7514.9
"Caraparí","Tarija","Caraparí","output/locator_maps/workbench_hd_3/Carapari_muni_locator_map.svg",7516.9
"El Puente","Tarija","El Puente","output/locator_maps/workbench_hd_3/El_Puente_(Tarija)_muni_locator_map.svg",7516.1
"Entre Ríos","Tarija","Entre Ríos","output/locator_maps/workbench_hd_3/Entre_Rios_(Tarija)_muni_locator_map.svg",7517.2
"Padcaya","Tarija","Padcaya","output/locator_maps/workbench_hd_3/Padcaya_muni_locator_map.svg",7517.4
"San Lorenzo","Tarija","San Lorenzo","output/locator_maps/workbench_hd_3/San_Lorenzo_(Tarija)_muni_locator_map.svg",7516.4
"Tarija","Tarija","Tarija","output/locator_maps/workbench_hd_3/Tarija_muni_locator_map.svg",7516.8
"Uriondo","Tarija","Uriondo","output/locator_maps/workbench_hd_3/Uriondo_muni_locator_map.svg",7515.4
"Villa Montes","Tarija","Villa Montes","output/locator_maps/workbench_hd_3/Villa_Montes_muni_locator_map.svg",7516.1
"Yacuiba","Tarija","Yacuiba","output/locator_maps/workbench_hd_3/Yacuiba_muni_locator_map.svg",7515.2
"Yunchará","Tarija","Yunchará","output/locator_maps/workbench_hd_3/Yunchara_muni_locator_map.svg",7515.6
