"province","department","file","size_kb"
"Mejillones","Oruro","output/locator_maps/prov-maps-hd/Mejillones_prov_locator_map.svg",3800.5
"Nor Carangas","Oruro","output/locator_maps/prov-maps-hd/Nor_Carangas_prov_locator_map.svg",3800.6
"Pantaleón Dalence","Oruro","output/locator_maps/prov-maps-hd/Pantaleon_Dalence_prov_locator_map.svg",3800.9
"Poopó","Oruro","output/locator_maps/prov-maps-hd/Poopo_prov_locator_map.svg",3800.8
"Sabaya","Oruro","output/locator_maps/prov-maps-hd/Sabaya_prov_locator_map.svg",3802.8
"Sajama","Oruro","output/locator_maps/prov-maps-hd/Sajama_prov_locator_map.svg",3802.4
"San Pedro de Totora","Oruro","output/locator_maps/prov-maps-hd/San_Pedro_de_Totora_prov_locator_map.svg",3800.7
"Saucarí","Oruro","output/locator_maps/prov-maps-hd/Saucari_prov_locator_map.svg",3801.1
"Sebastián Pagador","Oruro","output/locator_maps/prov-maps-hd/Sebastian_Pagador_prov_locator_map.svg",3800.9
"Sur Carangas","Oruro","output/locator_maps/prov-maps-hd/Sur_Carangas_prov_locator_map.svg",3801.1
"Tomás Barrón","Oruro","output/locator_maps/prov-maps-hd/Tomas_Barron_prov_locator_map.svg",3799.9
"Abuná","Pando","output/locator_maps/prov-maps-hd/Abuna_prov_locator_map.svg",3802.8
"Federico Román","Pando","output/locator_maps/prov-maps-hd/Federico_Roman_prov_locator_map.svg",3803.5
"Madre de Dios","Pando","output/locator_maps/prov-maps-hd/Madre_de_Dios_prov_locator_map.svg",3804.9
"Manuripi","Pando","output/locator_maps/prov-maps-hd/Manuripi_prov_locator_map.svg",3807.6
"Nicolás Suárez","Pando","output/locator_maps/prov-maps-hd/Nicolas_Suarez_prov_locator_map.svg",3805.5
"Alonso de Ibáñez","Potosí","output/locator_maps/prov-maps-hd/Alonso_de_Ibanez_prov_locator_map.svg",3801.1
"Antonio Quijarro","Potosí","output/locator_maps/prov-maps-hd/Antonio_Quijarro_prov_locator_map.svg",3803.4
"Chayanta","Potosí","output/locator_maps/prov-maps-hd/Chayanta_prov_locator_map.svg",3802.7
"Chárcas","Potosí","output/locator_maps/prov-maps-hd/Charcas_prov_locator_map.svg",3802.5
"Cornelio Saavedra","Potosí","output/locator_maps/prov-maps-hd/Cornelio_Saavedra_prov_locator_map.svg",3802.6
"Daniel Campos","Potosí","output/locator_maps/prov-maps-hd/Daniel_Campos_prov_locator_map.svg",3801.2
"Enrique Baldivieso","Potosí","output/locator_maps/prov-maps-hd/Enrique_Baldivieso_prov_locator_map.svg",3799.8
"General Bilbao","Potosí","output/locator_maps/prov-maps-hd/General_Bilbao_prov_locator_map.svg",3800.5
"José María Linares","Potosí","output/locator_maps/prov-maps-hd/Jose_Maria_Linares_prov_locator_map.svg",3803.6
"Modesto Omiste","Potosí","output/locator_maps/prov-maps-hd/Modesto_Omiste_prov_locator_map.svg",3801
"Nor Chichas","Potosí","output/locator_maps/prov-maps-hd/Nor_Chichas_prov_locator_map.svg",3803.1
"Nor Lipez","Potosí","output/locator_maps/prov-maps-hd/Nor_Lipez_prov_locator_map.svg",3803.3
"Rafael Bustillo","Potosí","output/locator_maps/prov-maps-hd/Rafael_Bustillo_prov_locator_map.svg",3801.1
"Sur Chichas","Potosí","output/locator_maps/prov-maps-hd/Sur_Chichas_prov_locator_map.svg",3803.3
"Sur Lipez","Potosí","output/locator_maps/prov-maps-hd/Sur_Lipez_prov_locator_map.svg",3802.2
"Tomás Frías","Potosí","output/locator_maps/prov-maps-hd/Tomas_Frias_prov_locator_map.svg",3801.9
"Andrés Ibáñez","Santa Cruz","output/locator_maps/prov-maps-hd/Andres_Ibanez_prov_locator_map.svg",3801.8
"Angel Sandoval","Santa Cruz","output/locator_maps/prov-maps-hd/Angel_Sandoval_prov_locator_map.svg",3801.9
"Chiquitos","Santa Cruz","output/locator_maps/prov-maps-hd/Chiquitos_prov_locator_map.svg",3803
"Cordillera","Santa Cruz","output/locator_maps/prov-maps-hd/Cordillera_prov_locator_map.svg",3804.7
"Florida","Santa Cruz","output/locator_maps/prov-maps-hd/Florida_prov_locator_map.svg",3801.9
"Germán Busch","Santa Cruz","output/locator_maps/prov-maps-hd/German_Busch_prov_locator_map.svg",3800.9
"Guarayos","Santa Cruz","output/locator_maps/prov-maps-hd/Guarayos_prov_locator_map.svg",3806.2
"Ichilo","Santa Cruz","output/locator_maps/prov-maps-hd/Ichilo_prov_locator_map.svg",3809.3
"Manuel María Caballero","Santa Cruz","output/locator_maps/prov-maps-hd/Manuel_Maria_Caballero_prov_locator_map.svg",3801.9
"Obispo Santistéban","Santa Cruz","output/locator_maps/prov-maps-hd/Obispo_Santisteban_prov_locator_map.svg",3804.4
"Sara","Santa Cruz","output/locator_maps/prov-maps-hd/Sara_prov_locator_map.svg",3805.5
"Vallegrande","Santa Cruz","output/locator_maps/prov-maps-hd/Vallegrande_prov_locator_map.svg",3803.5
"Velasco","Santa Cruz","output/locator_maps/prov-maps-hd/Velasco_prov_locator_map.svg",3806.8
"Warnes","Santa Cruz","output/locator_maps/prov-maps-hd/Warnes_prov_locator_map.svg",3801.2
"Ñuflo De Chávez","Santa Cruz","output/locator_maps/prov-maps-hd/Nuflo_De_Chavez_prov_locator_map.svg",3806.6
"Arce","Tarija","output/locator_maps/prov-maps-hd/Arce_prov_locator_map.svg",3803.5
"Avilés","Tarija","output/locator_maps/prov-maps-hd/Aviles_prov_locator_map.svg",3802
"Cercado","Tarija","output/locator_maps/prov-maps-hd/Cercado_(Tarija)_prov_locator_map.svg",3802.1
"Gran Chaco","Tarija","output/locator_maps/prov-maps-hd/Gran_Chaco_prov_locator_map.svg",3802.5
"Méndez","Tarija","output/locator_maps/prov-maps-hd/Mendez_prov_locator_map.svg",3802.6
"O'Connor","Tarija","output/locator_maps/prov-maps-hd/O_Connor_prov_locator_map.svg",3802.4
