CodigoMesa,Descripcion,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,NumeroMesa,InscritosHabilitados,Voto1,Voto2,Voto3,Voto4,Voto5,Voto6,Voto7,Voto8,Voto9,Voto10,Voto11,Voto12,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
100214,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,3,320,22,0,4,0,15,4,3,0,4,22,0,0,74,2,39,0,39,115,74,115
100224,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,4,320,14,0,8,0,8,5,1,0,8,29,0,0,73,8,43,0,43,124,73,124
100234,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,5,320,21,1,6,0,12,5,4,0,3,21,0,0,73,11,45,3,48,132,73,132
100244,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,6,320,20,1,6,0,8,1,3,0,5,30,0,0,74,0,44,2,46,120,74,120
100254,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,7,320,21,0,7,0,7,4,1,0,3,18,0,0,61,1,36,2,38,100,61,100
100264,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,8,320,18,3,6,0,12,3,3,0,3,18,0,0,66,3,32,0,32,101,66,101
100274,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25057,Escuela N° 22 De 11 Hipólito Bouchard,9,278,18,1,8,0,5,6,4,0,3,24,0,0,69,2,35,1,36,107,69,107
100284,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,1,320,31,0,6,0,10,2,11,0,6,23,0,0,89,8,52,0,52,149,89,149
100294,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,2,320,23,2,8,0,8,6,8,0,7,24,0,0,86,9,57,0,57,152,86,152
100304,PRESIDENTE,11,Argentina,10,Buenos Aires,0,0,1,Buenos Aires,1,C.A. Buenos Aires,3611,C.A. Buenos Aires,25058,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,3,320,21,4,5,0,8,7,2,0,7,26,0,0,80,7,58,2,60,147,80,147
